question,sql
"How many referrals were reported between Friday and 0600hrs on Monday in the force area?","WITH WeekendData AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE)) AS WeekendStart, COUNT(*) AS ReferralCount FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(MONTH, -1, GETDATE()) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6)) GROUP BY DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE))), ThisWeekend AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AS ThisWeekendStart, COUNT(*) AS TotalThisWeekendReferrals FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AND ReferralCreatedDateTime < DATEADD(DAY, 3, DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE))) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6))), PreviousWeekends AS (SELECT AVG(ReferralCount) AS AvgPreviousWeekendReferrals, SUM(ReferralCount) AS TotalPreviousWeekendReferrals FROM WeekendData WHERE WeekendStart < (SELECT ThisWeekendStart FROM ThisWeekend)) SELECT ThisWeekend.TotalThisWeekendReferrals, PreviousWeekends.AvgPreviousWeekendReferrals, PreviousWeekends.TotalPreviousWeekendReferrals, CASE WHEN ThisWeekend.TotalThisWeekendReferrals > PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Above Average' WHEN ThisWeekend.TotalThisWeekendReferrals < PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Below Average' ELSE 'Equal to Average' END AS ComparisonResult FROM ThisWeekend, PreviousWeekends;"
"Provide the daily referral numbers from Friday to 0600hrs Monday for the force area.","WITH WeekendData AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE)) AS WeekendStart, COUNT(*) AS ReferralCount FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(MONTH, -1, GETDATE()) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6)) GROUP BY DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE))), ThisWeekend AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AS ThisWeekendStart, COUNT(*) AS TotalThisWeekendReferrals FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AND ReferralCreatedDateTime < DATEADD(DAY, 3, DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE))) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6))), PreviousWeekends AS (SELECT AVG(ReferralCount) AS AvgPreviousWeekendReferrals, SUM(ReferralCount) AS TotalPreviousWeekendReferrals FROM WeekendData WHERE WeekendStart < (SELECT ThisWeekendStart FROM ThisWeekend)) SELECT ThisWeekend.TotalThisWeekendReferrals, PreviousWeekends.AvgPreviousWeekendReferrals, PreviousWeekends.TotalPreviousWeekendReferrals, CASE WHEN ThisWeekend.TotalThisWeekendReferrals > PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Above Average' WHEN ThisWeekend.TotalThisWeekendReferrals < PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Below Average' ELSE 'Equal to Average' END AS ComparisonResult FROM ThisWeekend, PreviousWeekends;"
"What was the number of referrals received in the force area from Friday to Monday morning at 0600hrs?","WITH WeekendData AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE)) AS WeekendStart, COUNT(*) AS ReferralCount FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(MONTH, -1, GETDATE()) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6)) GROUP BY DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE))), ThisWeekend AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AS ThisWeekendStart, COUNT(*) AS TotalThisWeekendReferrals FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AND ReferralCreatedDateTime < DATEADD(DAY, 3, DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE))) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6))), PreviousWeekends AS (SELECT AVG(ReferralCount) AS AvgPreviousWeekendReferrals, SUM(ReferralCount) AS TotalPreviousWeekendReferrals FROM WeekendData WHERE WeekendStart < (SELECT ThisWeekendStart FROM ThisWeekend)) SELECT ThisWeekend.TotalThisWeekendReferrals, PreviousWeekends.AvgPreviousWeekendReferrals, PreviousWeekends.TotalPreviousWeekendReferrals, CASE WHEN ThisWeekend.TotalThisWeekendReferrals > PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Above Average' WHEN ThisWeekend.TotalThisWeekendReferrals < PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Below Average' ELSE 'Equal to Average' END AS ComparisonResult FROM ThisWeekend, PreviousWeekends;"
"Can you share the count of referrals per day in the force area from Friday to 0600hrs on Monday?","WITH WeekendData AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE)) AS WeekendStart, COUNT(*) AS ReferralCount FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(MONTH, -1, GETDATE()) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6)) GROUP BY DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE))), ThisWeekend AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AS ThisWeekendStart, COUNT(*) AS TotalThisWeekendReferrals FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AND ReferralCreatedDateTime < DATEADD(DAY, 3, DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE))) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6))), PreviousWeekends AS (SELECT AVG(ReferralCount) AS AvgPreviousWeekendReferrals, SUM(ReferralCount) AS TotalPreviousWeekendReferrals FROM WeekendData WHERE WeekendStart < (SELECT ThisWeekendStart FROM ThisWeekend)) SELECT ThisWeekend.TotalThisWeekendReferrals, PreviousWeekends.AvgPreviousWeekendReferrals, PreviousWeekends.TotalPreviousWeekendReferrals, CASE WHEN ThisWeekend.TotalThisWeekendReferrals > PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Above Average' WHEN ThisWeekend.TotalThisWeekendReferrals < PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Below Average' ELSE 'Equal to Average' END AS ComparisonResult FROM ThisWeekend, PreviousWeekends;"
"How many referrals came in from Friday to 0600hrs Monday within the force area?","WITH WeekendData AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE)) AS WeekendStart, COUNT(*) AS ReferralCount FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(MONTH, -1, GETDATE()) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6)) GROUP BY DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE))), ThisWeekend AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AS ThisWeekendStart, COUNT(*) AS TotalThisWeekendReferrals FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AND ReferralCreatedDateTime < DATEADD(DAY, 3, DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE))) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6))), PreviousWeekends AS (SELECT AVG(ReferralCount) AS AvgPreviousWeekendReferrals, SUM(ReferralCount) AS TotalPreviousWeekendReferrals FROM WeekendData WHERE WeekendStart < (SELECT ThisWeekendStart FROM ThisWeekend)) SELECT ThisWeekend.TotalThisWeekendReferrals, PreviousWeekends.AvgPreviousWeekendReferrals, PreviousWeekends.TotalPreviousWeekendReferrals, CASE WHEN ThisWeekend.TotalThisWeekendReferrals > PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Above Average' WHEN ThisWeekend.TotalThisWeekendReferrals < PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Below Average' ELSE 'Equal to Average' END AS ComparisonResult FROM ThisWeekend, PreviousWeekends;"
"Provide the referral statistics from Friday through to 0600hrs on Monday in the force jurisdiction.","WITH WeekendData AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE)) AS WeekendStart, COUNT(*) AS ReferralCount FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(MONTH, -1, GETDATE()) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6)) GROUP BY DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE))), ThisWeekend AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AS ThisWeekendStart, COUNT(*) AS TotalThisWeekendReferrals FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AND ReferralCreatedDateTime < DATEADD(DAY, 3, DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE))) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6))), PreviousWeekends AS (SELECT AVG(ReferralCount) AS AvgPreviousWeekendReferrals, SUM(ReferralCount) AS TotalPreviousWeekendReferrals FROM WeekendData WHERE WeekendStart < (SELECT ThisWeekendStart FROM ThisWeekend)) SELECT ThisWeekend.TotalThisWeekendReferrals, PreviousWeekends.AvgPreviousWeekendReferrals, PreviousWeekends.TotalPreviousWeekendReferrals, CASE WHEN ThisWeekend.TotalThisWeekendReferrals > PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Above Average' WHEN ThisWeekend.TotalThisWeekendReferrals < PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Below Average' ELSE 'Equal to Average' END AS ComparisonResult FROM ThisWeekend, PreviousWeekends;"
"From Friday to 0600hrs on Monday, how many referrals were registered in the force's area?","WITH WeekendData AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE)) AS WeekendStart, COUNT(*) AS ReferralCount FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(MONTH, -1, GETDATE()) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6)) GROUP BY DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE))), ThisWeekend AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AS ThisWeekendStart, COUNT(*) AS TotalThisWeekendReferrals FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AND ReferralCreatedDateTime < DATEADD(DAY, 3, DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE))) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6))), PreviousWeekends AS (SELECT AVG(ReferralCount) AS AvgPreviousWeekendReferrals, SUM(ReferralCount) AS TotalPreviousWeekendReferrals FROM WeekendData WHERE WeekendStart < (SELECT ThisWeekendStart FROM ThisWeekend)) SELECT ThisWeekend.TotalThisWeekendReferrals, PreviousWeekends.AvgPreviousWeekendReferrals, PreviousWeekends.TotalPreviousWeekendReferrals, CASE WHEN ThisWeekend.TotalThisWeekendReferrals > PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Above Average' WHEN ThisWeekend.TotalThisWeekendReferrals < PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Below Average' ELSE 'Equal to Average' END AS ComparisonResult FROM ThisWeekend, PreviousWeekends;"
"What were the daily referral numbers for the force area from Friday to 0600hrs on Monday?","WITH WeekendData AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE)) AS WeekendStart, COUNT(*) AS ReferralCount FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(MONTH, -1, GETDATE()) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6)) GROUP BY DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE))), ThisWeekend AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AS ThisWeekendStart, COUNT(*) AS TotalThisWeekendReferrals FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AND ReferralCreatedDateTime < DATEADD(DAY, 3, DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE))) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6))), PreviousWeekends AS (SELECT AVG(ReferralCount) AS AvgPreviousWeekendReferrals, SUM(ReferralCount) AS TotalPreviousWeekendReferrals FROM WeekendData WHERE WeekendStart < (SELECT ThisWeekendStart FROM ThisWeekend)) SELECT ThisWeekend.TotalThisWeekendReferrals, PreviousWeekends.AvgPreviousWeekendReferrals, PreviousWeekends.TotalPreviousWeekendReferrals, CASE WHEN ThisWeekend.TotalThisWeekendReferrals > PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Above Average' WHEN ThisWeekend.TotalThisWeekendReferrals < PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Below Average' ELSE 'Equal to Average' END AS ComparisonResult FROM ThisWeekend, PreviousWeekends;"
Could you break down the number of referrals per day from Friday to Monday morning in the force area?","WITH WeekendData AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE)) AS WeekendStart, COUNT(*) AS ReferralCount FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(MONTH, -1, GETDATE()) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6)) GROUP BY DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE))), ThisWeekend AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AS ThisWeekendStart, COUNT(*) AS TotalThisWeekendReferrals FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AND ReferralCreatedDateTime < DATEADD(DAY, 3, DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE))) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6))), PreviousWeekends AS (SELECT AVG(ReferralCount) AS AvgPreviousWeekendReferrals, SUM(ReferralCount) AS TotalPreviousWeekendReferrals FROM WeekendData WHERE WeekendStart < (SELECT ThisWeekendStart FROM ThisWeekend)) SELECT ThisWeekend.TotalThisWeekendReferrals, PreviousWeekends.AvgPreviousWeekendReferrals, PreviousWeekends.TotalPreviousWeekendReferrals, CASE WHEN ThisWeekend.TotalThisWeekendReferrals > PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Above Average' WHEN ThisWeekend.TotalThisWeekendReferrals < PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Below Average' ELSE 'Equal to Average' END AS ComparisonResult FROM ThisWeekend, PreviousWeekends;"
"How many referrals were made in the force area from Friday until 0600hrs on Monday?","WITH WeekendData AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE)) AS WeekendStart, COUNT(*) AS ReferralCount FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(MONTH, -1, GETDATE()) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6)) GROUP BY DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE))), ThisWeekend AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AS ThisWeekendStart, COUNT(*) AS TotalThisWeekendReferrals FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AND ReferralCreatedDateTime < DATEADD(DAY, 3, DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE))) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6))), PreviousWeekends AS (SELECT AVG(ReferralCount) AS AvgPreviousWeekendReferrals, SUM(ReferralCount) AS TotalPreviousWeekendReferrals FROM WeekendData WHERE WeekendStart < (SELECT ThisWeekendStart FROM ThisWeekend)) SELECT ThisWeekend.TotalThisWeekendReferrals, PreviousWeekends.AvgPreviousWeekendReferrals, PreviousWeekends.TotalPreviousWeekendReferrals, CASE WHEN ThisWeekend.TotalThisWeekendReferrals > PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Above Average' WHEN ThisWeekend.TotalThisWeekendReferrals < PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Below Average' ELSE 'Equal to Average' END AS ComparisonResult FROM ThisWeekend, PreviousWeekends;"
