question,sql
"From all the data available can you detail the people who have been seen by healthcare more than three times since 1st January to today and break down their demographics and presenting complaints.  List the people from higher to lower in repeat visits.","WITH ReferralCounts AS (
    -- Calculate the number of visits for each patient since January 1st, 2024
    SELECT 
        r.DetainedPersonId,
        COUNT(*) AS NumberOfVisits
    FROM 
        Referrals r
    WHERE 
        r.ReferralCreatedDateTime >= '2024-01-01'
    GROUP BY 
        r.DetainedPersonId
    HAVING 
        COUNT(*) > 3
),
PatientDetails AS (
    -- Get patient details and concatenate presenting complaints from history and main complaints tables
    SELECT
        r.DetainedPersonId,
        p.Forename,
        p.Surname,
        p.Gender,
        COUNT(r.Id) AS NumberOfVisits,
        -- Concatenate presenting complaints and complaint history
        STRING_AGG(COALESCE(pc.ComplaintOther, pch.ComplaintOther, pc.HistoryOfPresentingComplaint, pch.HistoryOfPresentingComplaint), ', ') AS PresentingComplaints
    FROM 
        Referrals r
    JOIN 
        HcpPatients p ON r.DetainedPersonId = p.Id
    LEFT JOIN 
        PresentingComplaints pc ON r.Id = pc.ReferralId -- Joining to PresentingComplaints
    LEFT JOIN 
        PresentingComplaintHistory pch ON r.Id = pch.ReferralId -- Joining to PresentingComplaintHistory
    WHERE 
        r.ReferralCreatedDateTime >= '2024-01-01'
    GROUP BY 
        r.DetainedPersonId, 
        p.Forename, 
        p.Surname, 
        p.Gender
    HAVING 
        COUNT(r.Id) > 3
)
SELECT 
    DetainedPersonId,
    Forename,
    Surname,
    Gender,
    NumberOfVisits,
    PresentingComplaints
FROM 
    PatientDetails
ORDER BY 
    NumberOfVisits DESC;"
"Can you list people seen by healthcare more than three times since January 1st, ranked by visit count, with demographics and presenting complaints?","WITH ReferralCounts AS (
    -- Calculate the number of visits for each patient since January 1st, 2024
    SELECT 
        r.DetainedPersonId,
        COUNT(*) AS NumberOfVisits
    FROM 
        Referrals r
    WHERE 
        r.ReferralCreatedDateTime >= '2024-01-01'
    GROUP BY 
        r.DetainedPersonId
    HAVING 
        COUNT(*) > 3
),
PatientDetails AS (
    -- Get patient details and concatenate presenting complaints from history and main complaints tables
    SELECT
        r.DetainedPersonId,
        p.Forename,
        p.Surname,
        p.Gender,
        COUNT(r.Id) AS NumberOfVisits,
        -- Concatenate presenting complaints and complaint history
        STRING_AGG(COALESCE(pc.ComplaintOther, pch.ComplaintOther, pc.HistoryOfPresentingComplaint, pch.HistoryOfPresentingComplaint), ', ') AS PresentingComplaints
    FROM 
        Referrals r
    JOIN 
        HcpPatients p ON r.DetainedPersonId = p.Id
    LEFT JOIN 
        PresentingComplaints pc ON r.Id = pc.ReferralId -- Joining to PresentingComplaints
    LEFT JOIN 
        PresentingComplaintHistory pch ON r.Id = pch.ReferralId -- Joining to PresentingComplaintHistory
    WHERE 
        r.ReferralCreatedDateTime >= '2024-01-01'
    GROUP BY 
        r.DetainedPersonId, 
        p.Forename, 
        p.Surname, 
        p.Gender
    HAVING 
        COUNT(r.Id) > 3
)
SELECT 
    DetainedPersonId,
    Forename,
    Surname,
    Gender,
    NumberOfVisits,
    PresentingComplaints
FROM 
    PatientDetails
ORDER BY 
    NumberOfVisits DESC;"
"Who are the individuals seen by healthcare more than three times since January, and can you break down their demographics and presenting complaints, ranked by repeat visits?","WITH ReferralCounts AS (
    -- Calculate the number of visits for each patient since January 1st, 2024
    SELECT 
        r.DetainedPersonId,
        COUNT(*) AS NumberOfVisits
    FROM 
        Referrals r
    WHERE 
        r.ReferralCreatedDateTime >= '2024-01-01'
    GROUP BY 
        r.DetainedPersonId
    HAVING 
        COUNT(*) > 3
),
PatientDetails AS (
    -- Get patient details and concatenate presenting complaints from history and main complaints tables
    SELECT
        r.DetainedPersonId,
        p.Forename,
        p.Surname,
        p.Gender,
        COUNT(r.Id) AS NumberOfVisits,
        -- Concatenate presenting complaints and complaint history
        STRING_AGG(COALESCE(pc.ComplaintOther, pch.ComplaintOther, pc.HistoryOfPresentingComplaint, pch.HistoryOfPresentingComplaint), ', ') AS PresentingComplaints
    FROM 
        Referrals r
    JOIN 
        HcpPatients p ON r.DetainedPersonId = p.Id
    LEFT JOIN 
        PresentingComplaints pc ON r.Id = pc.ReferralId -- Joining to PresentingComplaints
    LEFT JOIN 
        PresentingComplaintHistory pch ON r.Id = pch.ReferralId -- Joining to PresentingComplaintHistory
    WHERE 
        r.ReferralCreatedDateTime >= '2024-01-01'
    GROUP BY 
        r.DetainedPersonId, 
        p.Forename, 
        p.Surname, 
        p.Gender
    HAVING 
        COUNT(r.Id) > 3
)
SELECT 
    DetainedPersonId,
    Forename,
    Surname,
    Gender,
    NumberOfVisits,
    PresentingComplaints
FROM 
    PatientDetails
ORDER BY 
    NumberOfVisits DESC;"
"Can you provide a breakdown of people seen by healthcare more than three times, with demographics and complaints, listed from most to least visits?","WITH ReferralCounts AS (
    -- Calculate the number of visits for each patient since January 1st, 2024
    SELECT 
        r.DetainedPersonId,
        COUNT(*) AS NumberOfVisits
    FROM 
        Referrals r
    WHERE 
        r.ReferralCreatedDateTime >= '2024-01-01'
    GROUP BY 
        r.DetainedPersonId
    HAVING 
        COUNT(*) > 3
),
PatientDetails AS (
    -- Get patient details and concatenate presenting complaints from history and main complaints tables
    SELECT
        r.DetainedPersonId,
        p.Forename,
        p.Surname,
        p.Gender,
        COUNT(r.Id) AS NumberOfVisits,
        -- Concatenate presenting complaints and complaint history
        STRING_AGG(COALESCE(pc.ComplaintOther, pch.ComplaintOther, pc.HistoryOfPresentingComplaint, pch.HistoryOfPresentingComplaint), ', ') AS PresentingComplaints
    FROM 
        Referrals r
    JOIN 
        HcpPatients p ON r.DetainedPersonId = p.Id
    LEFT JOIN 
        PresentingComplaints pc ON r.Id = pc.ReferralId -- Joining to PresentingComplaints
    LEFT JOIN 
        PresentingComplaintHistory pch ON r.Id = pch.ReferralId -- Joining to PresentingComplaintHistory
    WHERE 
        r.ReferralCreatedDateTime >= '2024-01-01'
    GROUP BY 
        r.DetainedPersonId, 
        p.Forename, 
        p.Surname, 
        p.Gender
    HAVING 
        COUNT(r.Id) > 3
)
SELECT 
    DetainedPersonId,
    Forename,
    Surname,
    Gender,
    NumberOfVisits,
    PresentingComplaints
FROM 
    PatientDetails
ORDER BY 
    NumberOfVisits DESC;"
"Who has been seen by healthcare more than three times since January 1st, and what are their demographics and presenting complaints, sorted by visit frequency?","WITH ReferralCounts AS (
    -- Calculate the number of visits for each patient since January 1st, 2024
    SELECT 
        r.DetainedPersonId,
        COUNT(*) AS NumberOfVisits
    FROM 
        Referrals r
    WHERE 
        r.ReferralCreatedDateTime >= '2024-01-01'
    GROUP BY 
        r.DetainedPersonId
    HAVING 
        COUNT(*) > 3
),
PatientDetails AS (
    -- Get patient details and concatenate presenting complaints from history and main complaints tables
    SELECT
        r.DetainedPersonId,
        p.Forename,
        p.Surname,
        p.Gender,
        COUNT(r.Id) AS NumberOfVisits,
        -- Concatenate presenting complaints and complaint history
        STRING_AGG(COALESCE(pc.ComplaintOther, pch.ComplaintOther, pc.HistoryOfPresentingComplaint, pch.HistoryOfPresentingComplaint), ', ') AS PresentingComplaints
    FROM 
        Referrals r
    JOIN 
        HcpPatients p ON r.DetainedPersonId = p.Id
    LEFT JOIN 
        PresentingComplaints pc ON r.Id = pc.ReferralId -- Joining to PresentingComplaints
    LEFT JOIN 
        PresentingComplaintHistory pch ON r.Id = pch.ReferralId -- Joining to PresentingComplaintHistory
    WHERE 
        r.ReferralCreatedDateTime >= '2024-01-01'
    GROUP BY 
        r.DetainedPersonId, 
        p.Forename, 
        p.Surname, 
        p.Gender
    HAVING 
        COUNT(r.Id) > 3
)
SELECT 
    DetainedPersonId,
    Forename,
    Surname,
    Gender,
    NumberOfVisits,
    PresentingComplaints
FROM 
    PatientDetails
ORDER BY 
    NumberOfVisits DESC;"
"Can you detail individuals seen more than three times by healthcare since January 1st, along with their demographics and presenting complaints, ranked by visits?","WITH ReferralCounts AS (
    -- Calculate the number of visits for each patient since January 1st, 2024
    SELECT 
        r.DetainedPersonId,
        COUNT(*) AS NumberOfVisits
    FROM 
        Referrals r
    WHERE 
        r.ReferralCreatedDateTime >= '2024-01-01'
    GROUP BY 
        r.DetainedPersonId
    HAVING 
        COUNT(*) > 3
),
PatientDetails AS (
    -- Get patient details and concatenate presenting complaints from history and main complaints tables
    SELECT
        r.DetainedPersonId,
        p.Forename,
        p.Surname,
        p.Gender,
        COUNT(r.Id) AS NumberOfVisits,
        -- Concatenate presenting complaints and complaint history
        STRING_AGG(COALESCE(pc.ComplaintOther, pch.ComplaintOther, pc.HistoryOfPresentingComplaint, pch.HistoryOfPresentingComplaint), ', ') AS PresentingComplaints
    FROM 
        Referrals r
    JOIN 
        HcpPatients p ON r.DetainedPersonId = p.Id
    LEFT JOIN 
        PresentingComplaints pc ON r.Id = pc.ReferralId -- Joining to PresentingComplaints
    LEFT JOIN 
        PresentingComplaintHistory pch ON r.Id = pch.ReferralId -- Joining to PresentingComplaintHistory
    WHERE 
        r.ReferralCreatedDateTime >= '2024-01-01'
    GROUP BY 
        r.DetainedPersonId, 
        p.Forename, 
        p.Surname, 
        p.Gender
    HAVING 
        COUNT(r.Id) > 3
)
SELECT 
    DetainedPersonId,
    Forename,
    Surname,
    Gender,
    NumberOfVisits,
    PresentingComplaints
FROM 
    PatientDetails
ORDER BY 
    NumberOfVisits DESC;"
"List the people who have been seen by healthcare more than three times, from highest to lowest visits, along with their demographics and complaints.","WITH ReferralCounts AS (
    -- Calculate the number of visits for each patient since January 1st, 2024
    SELECT 
        r.DetainedPersonId,
        COUNT(*) AS NumberOfVisits
    FROM 
        Referrals r
    WHERE 
        r.ReferralCreatedDateTime >= '2024-01-01'
    GROUP BY 
        r.DetainedPersonId
    HAVING 
        COUNT(*) > 3
),
PatientDetails AS (
    -- Get patient details and concatenate presenting complaints from history and main complaints tables
    SELECT
        r.DetainedPersonId,
        p.Forename,
        p.Surname,
        p.Gender,
        COUNT(r.Id) AS NumberOfVisits,
        -- Concatenate presenting complaints and complaint history
        STRING_AGG(COALESCE(pc.ComplaintOther, pch.ComplaintOther, pc.HistoryOfPresentingComplaint, pch.HistoryOfPresentingComplaint), ', ') AS PresentingComplaints
    FROM 
        Referrals r
    JOIN 
        HcpPatients p ON r.DetainedPersonId = p.Id
    LEFT JOIN 
        PresentingComplaints pc ON r.Id = pc.ReferralId -- Joining to PresentingComplaints
    LEFT JOIN 
        PresentingComplaintHistory pch ON r.Id = pch.ReferralId -- Joining to PresentingComplaintHistory
    WHERE 
        r.ReferralCreatedDateTime >= '2024-01-01'
    GROUP BY 
        r.DetainedPersonId, 
        p.Forename, 
        p.Surname, 
        p.Gender
    HAVING 
        COUNT(r.Id) > 3
)
SELECT 
    DetainedPersonId,
    Forename,
    Surname,
    Gender,
    NumberOfVisits,
    PresentingComplaints
FROM 
    PatientDetails
ORDER BY 
    NumberOfVisits DESC;"
"Can you provide a detailed report of individuals seen by healthcare more than three times, including demographics and presenting complaints, ranked by repeat visits?","WITH ReferralCounts AS (
    -- Calculate the number of visits for each patient since January 1st, 2024
    SELECT 
        r.DetainedPersonId,
        COUNT(*) AS NumberOfVisits
    FROM 
        Referrals r
    WHERE 
        r.ReferralCreatedDateTime >= '2024-01-01'
    GROUP BY 
        r.DetainedPersonId
    HAVING 
        COUNT(*) > 3
),
PatientDetails AS (
    -- Get patient details and concatenate presenting complaints from history and main complaints tables
    SELECT
        r.DetainedPersonId,
        p.Forename,
        p.Surname,
        p.Gender,
        COUNT(r.Id) AS NumberOfVisits,
        -- Concatenate presenting complaints and complaint history
        STRING_AGG(COALESCE(pc.ComplaintOther, pch.ComplaintOther, pc.HistoryOfPresentingComplaint, pch.HistoryOfPresentingComplaint), ', ') AS PresentingComplaints
    FROM 
        Referrals r
    JOIN 
        HcpPatients p ON r.DetainedPersonId = p.Id
    LEFT JOIN 
        PresentingComplaints pc ON r.Id = pc.ReferralId -- Joining to PresentingComplaints
    LEFT JOIN 
        PresentingComplaintHistory pch ON r.Id = pch.ReferralId -- Joining to PresentingComplaintHistory
    WHERE 
        r.ReferralCreatedDateTime >= '2024-01-01'
    GROUP BY 
        r.DetainedPersonId, 
        p.Forename, 
        p.Surname, 
        p.Gender
    HAVING 
        COUNT(r.Id) > 3
)
SELECT 
    DetainedPersonId,
    Forename,
    Surname,
    Gender,
    NumberOfVisits,
    PresentingComplaints
FROM 
    PatientDetails
ORDER BY 
    NumberOfVisits DESC;"
"Who are the repeat patients seen more than three times by healthcare, and what are their demographics and complaints, listed by visit frequency?","WITH ReferralCounts AS (
    -- Calculate the number of visits for each patient since January 1st, 2024
    SELECT 
        r.DetainedPersonId,
        COUNT(*) AS NumberOfVisits
    FROM 
        Referrals r
    WHERE 
        r.ReferralCreatedDateTime >= '2024-01-01'
    GROUP BY 
        r.DetainedPersonId
    HAVING 
        COUNT(*) > 3
),
PatientDetails AS (
    -- Get patient details and concatenate presenting complaints from history and main complaints tables
    SELECT
        r.DetainedPersonId,
        p.Forename,
        p.Surname,
        p.Gender,
        COUNT(r.Id) AS NumberOfVisits,
        -- Concatenate presenting complaints and complaint history
        STRING_AGG(COALESCE(pc.ComplaintOther, pch.ComplaintOther, pc.HistoryOfPresentingComplaint, pch.HistoryOfPresentingComplaint), ', ') AS PresentingComplaints
    FROM 
        Referrals r
    JOIN 
        HcpPatients p ON r.DetainedPersonId = p.Id
    LEFT JOIN 
        PresentingComplaints pc ON r.Id = pc.ReferralId -- Joining to PresentingComplaints
    LEFT JOIN 
        PresentingComplaintHistory pch ON r.Id = pch.ReferralId -- Joining to PresentingComplaintHistory
    WHERE 
        r.ReferralCreatedDateTime >= '2024-01-01'
    GROUP BY 
        r.DetainedPersonId, 
        p.Forename, 
        p.Surname, 
        p.Gender
    HAVING 
        COUNT(r.Id) > 3
)
SELECT 
    DetainedPersonId,
    Forename,
    Surname,
    Gender,
    NumberOfVisits,
    PresentingComplaints
FROM 
    PatientDetails
ORDER BY 
    NumberOfVisits DESC;"
"Can you detail the demographics and presenting complaints of people seen more than three times by healthcare since January 1st, sorted by visits?","WITH ReferralCounts AS (
    -- Calculate the number of visits for each patient since January 1st, 2024
    SELECT 
        r.DetainedPersonId,
        COUNT(*) AS NumberOfVisits
    FROM 
        Referrals r
    WHERE 
        r.ReferralCreatedDateTime >= '2024-01-01'
    GROUP BY 
        r.DetainedPersonId
    HAVING 
        COUNT(*) > 3
),
PatientDetails AS (
    -- Get patient details and concatenate presenting complaints from history and main complaints tables
    SELECT
        r.DetainedPersonId,
        p.Forename,
        p.Surname,
        p.Gender,
        COUNT(r.Id) AS NumberOfVisits,
        -- Concatenate presenting complaints and complaint history
        STRING_AGG(COALESCE(pc.ComplaintOther, pch.ComplaintOther, pc.HistoryOfPresentingComplaint, pch.HistoryOfPresentingComplaint), ', ') AS PresentingComplaints
    FROM 
        Referrals r
    JOIN 
        HcpPatients p ON r.DetainedPersonId = p.Id
    LEFT JOIN 
        PresentingComplaints pc ON r.Id = pc.ReferralId -- Joining to PresentingComplaints
    LEFT JOIN 
        PresentingComplaintHistory pch ON r.Id = pch.ReferralId -- Joining to PresentingComplaintHistory
    WHERE 
        r.ReferralCreatedDateTime >= '2024-01-01'
    GROUP BY 
        r.DetainedPersonId, 
        p.Forename, 
        p.Surname, 
        p.Gender
    HAVING 
        COUNT(r.Id) > 3
)
SELECT 
    DetainedPersonId,
    Forename,
    Surname,
    Gender,
    NumberOfVisits,
    PresentingComplaints
FROM 
    PatientDetails
ORDER BY 
    NumberOfVisits DESC;"
